snapshot_date, sku_id   , category   , warehouse , current_stock, reorder_point, reorder_qty, unit_cost, stock_value, below_reorder
2024-11-25   , SKU-00048, Beauty     , WH-Central,          3952,           150,         376,   2559.9 , 10116724.8 ,             0
2024-08-23   , SKU-00276, Office     , WH-West   ,          2406,           249,         794,   2186.78,  5261392.68,             0
2024-02-20   , SKU-00054, Toys       , WH-North  ,          4415,            66,         113,   1005.5 ,  4439282.5 ,             0
2024-03-24   , SKU-00277, Beauty     , WH-South  ,          4979,           437,         599,   2696.18, 13424280.22,             0
2024-03-11   , SKU-00157, Home       , WH-South  ,          1572,            92,         832,   1339.81,  2106181.32,             0
2024-09-17   , SKU-00173, Automotive , WH-North  ,           110,           221,        1410,   2555.55,   281110.5 ,             1
2024-11-26   , SKU-00247, Clothing   , WH-South  ,          2656,           368,         986,   2774.43,  7368886.08,             0
2024-03-11   , SKU-00286, Sports     , WH-South  ,          3362,           144,        1579,   1530.77,  5146448.74,             0
2024-06-01   , SKU-00037, Home       , WH-South  ,          2356,           229,         547,     75.97,   178985.32,             0
2024-03-16   , SKU-00018, Electronics, WH-West   ,          1114,           258,         602,     29.55,    32918.7 ,             0
2024-10-24   , SKU-00145, Automotive , WH-North  ,          4876,           133,        1504,   1787.27,  8714728.52,             0
2024-03-06   , SKU-00197, Sports     , WH-South  ,          2434,           440,         141,   2268.27,  5520969.18,             0
2024-02-10   , SKU-00197, Sports     , WH-East   ,          4748,           389,        1492,   2268.27, 10769745.96,             0
2024-04-08   , SKU-00038, Sports     , WH-North  ,          1619,           115,        1212,    307.25,   497437.75,             0
2024-01-02   , SKU-00064, Books      , WH-North  ,          3086,           254,         927,   2869.05,  8853888.3 ,             0
2024-07-31   , SKU-00105, Toys       , WH-Central,           186,           420,         346,    387.91,    72151.26,             1
2024-04-17   , SKU-00017, Sports     , WH-Central,           548,           277,        1424,   1875.95,  1028020.6 ,             0
2024-06-23   , SKU-00211, Beauty     , WH-West   ,          3037,           165,         786,    837.62,  2543851.94,             0
2024-12-23   , SKU-00197, Sports     , WH-North  ,          2009,           314,         567,   2268.27,  4556954.43,             0
2024-07-21   , SKU-00198, Toys       , WH-North  ,          3788,           205,         533,   2851.25, 10800535.0 ,             0
2024-03-09   , SKU-00084, Home       , WH-Central,           999,           401,        1305,    405.43,   405024.57,             0
2024-08-14   , SKU-00196, Clothing   , WH-South  ,           914,           342,         429,   1335.01,  1220199.14,             0
2024-10-31   , SKU-00145, Automotive , WH-South  ,          2328,           330,        1015,   1787.27,  4160764.56,             0
