sku_id,city_id,pattern,method,n_periods,forecast_q25,forecast_q50,forecast_q75,wmape_backtest,confidence_pattern,confidence_final,lead_time_days,demand_lead_time,safety_stock,inventory_min,issue_rate,forecast_model,forecast_source,needs_review
MRO-10045,NAVA,Estable,moving_average,72,14.48,16.49,18.5,0.173,0.89,0.89,10.6,5.82,6.63,13,0.5171,16.49,modelo+estadistico,0
MRO-10045,OBRE,Estable,moving_average,72,6.82,8.1,9.38,0.256,0.9,0.9,10.6,2.86,3.46,7,0.2366,8.7,modelo+estadistico,0
MRO-10046,NAVA,Estable,moving_average,72,8.9,11.32,13.74,0.336,0.85,0.72,10.6,3.99,5.21,10,0.4356,11.15,modelo+estadistico,0
MRO-10046,OBRE,Estable,moving_average,72,4.88,6.26,7.66,0.363,0.9,0.77,10.6,2.21,3.05,6,0.1963,6.03,modelo+estadistico,0
MRO-10047,NAVA,Estable,moving_average,72,12.18,15.13,18.08,0.278,0.99,0.99,10.6,5.34,5.85,12,0.4903,15.09,modelo+estadistico,0
MRO-10047,OBRE,Estable,moving_average,72,5.32,6.96,8.6,0.376,0.9,0.77,10.6,2.45,3.13,6,0.212,7.43,modelo+estadistico,0
MRO-20031,NAVA,Estable,moving_average,72,14.68,17.5,20.34,0.192,0.95,0.95,10.6,6.17,6.83,14,0.5704,16.68,modelo+estadistico,0
MRO-20031,OBRE,Estable,moving_average,72,5.36,7.4,9.44,0.383,0.87,0.74,10.6,2.61,3.51,7,0.2519,7.46,modelo+estadistico,0
MRO-20032,NAVA,Estable,moving_average,72,15.08,17.06,19.04,0.186,0.86,0.86,10.6,6.02,3.59,10,0.5023,18.12,modelo+estadistico,0
MRO-20032,OBRE,Estable,moving_average,72,5.29,6.97,8.65,0.354,0.89,0.76,10.6,2.46,1.69,5,0.2097,7.27,modelo+estadistico,0
MRO-20033,NAVA,Estable,moving_average,72,10.0,14.68,19.36,0.471,0.89,0.76,10.6,5.18,4.71,10,0.4731,15.85,modelo+estadistico,0
MRO-20033,OBRE,Estable,moving_average,72,4.84,6.16,7.5,0.299,0.9,0.9,10.6,2.17,2.27,5,0.1884,6.66,modelo+estadistico,0
MRO-30011,NAVA,Estacional,holt_winters,72,32.29,36.28,40.26,0.226,0.98,0.98,10.6,12.79,11.45,25,1.0,41.89,modelo+estadistico,0
MRO-30011,OBRE,Estable,moving_average,72,16.85,18.39,19.93,0.119,0.99,0.99,10.6,6.49,5.47,12,0.6125,18.11,modelo+estadistico,0
MRO-30012,NAVA,Estacional,holt_winters,72,28.34,31.3,34.25,0.061,0.99,0.99,10.6,11.04,9.0,21,1.0,32.51,modelo+estadistico,0
MRO-30012,OBRE,Estable,moving_average,72,12.76,15.97,19.18,0.264,0.91,0.91,10.6,5.63,5.08,11,0.4653,15.94,modelo+estadistico,0
MRO-40021,NAVA,Estable,moving_average,72,20.29,24.82,29.32,0.197,0.81,0.81,10.6,8.75,7.42,17,0.6917,24.96,modelo+estadistico,0
MRO-40021,OBRE,Estable,moving_average,72,7.67,9.64,11.61,0.257,0.91,0.91,10.6,3.4,3.47,7,0.2829,9.78,modelo+estadistico,0
