sku_id,city_id,warehouse_id,snapshot_date,on_hand_qty,reorder_point,reorder_qty,unit_cost_usd,stock_value_usd,below_reorder
MRO-10045,NAVA,NAVA-01,2026-01-28,32,23,16,10.24,327.68,0
MRO-10045,OBRE,OBRE-01,2026-01-28,11,12,8,10.24,112.64,1
MRO-10046,NAVA,NAVA-01,2026-01-28,24,21,14,25.3,607.2,0
MRO-10046,OBRE,OBRE-01,2026-01-28,5,11,7,25.3,126.5,1
MRO-10047,NAVA,NAVA-01,2026-01-28,21,22,15,17.47,366.87,1
MRO-10047,OBRE,OBRE-01,2026-01-28,15,10,7,17.47,262.05,0
MRO-20031,NAVA,NAVA-01,2026-01-28,36,24,18,38.55,1387.8,0
MRO-20031,OBRE,OBRE-01,2026-01-28,13,13,8,38.55,501.15,0
MRO-20032,NAVA,NAVA-01,2026-01-28,11,19,16,0.14,1.54,1
MRO-20032,OBRE,OBRE-01,2026-01-28,6,9,7,0.14,0.84,1
MRO-20033,NAVA,NAVA-01,2026-01-28,17,20,15,2.23,37.91,1
MRO-20033,OBRE,OBRE-01,2026-01-28,11,10,7,2.23,24.53,0
MRO-30011,NAVA,NAVA-01,2026-01-28,64,51,41,3.86,247.04,0
MRO-30011,OBRE,OBRE-01,2026-01-28,12,24,19,3.86,46.32,1
MRO-30012,NAVA,NAVA-01,2026-01-28,37,40,32,10.72,396.64,1
MRO-30012,OBRE,OBRE-01,2026-01-28,12,21,15,10.72,128.64,1
MRO-40021,NAVA,NAVA-01,2026-01-28,30,30,23,6.51,195.3,0
MRO-40021,OBRE,OBRE-01,2026-01-28,17,14,10,6.51,110.67,0
MRO-40022,NAVA,NAVA-01,2026-01-28,20,48,37,9.16,183.2,1
MRO-40022,OBRE,OBRE-01,2026-01-28,13,22,16,9.16,119.08,1
MRO-50008,NAVA,NAVA-01,2026-01-28,7,5,3,5.18,36.26,0
MRO-50008,OBRE,OBRE-01,2026-01-28,1,3,2,5.18,5.18,1
MRO-50009,NAVA,NAVA-01,2026-01-28,8,9,5,22.29,178.32,1
MRO-50009,OBRE,OBRE-01,2026-01-28,6,5,2,22.29,133.74,0
MRO-60015,NAVA,NAVA-01,2026-01-28,11,11,7,8.07,88.77,0
MRO-60015,OBRE,OBRE-01,2026-01-28,8,5,3,8.07,64.56,0
MRO-60016,NAVA,NAVA-01,2026-01-28,9,7,4,11.08,99.72,0
MRO-60016,OBRE,OBRE-01,2026-01-28,3,3,2,11.08,33.24,0
MRO-70004,NAVA,NAVA-01,2026-01-28,47,29,24,0.22,10.34,0
MRO-70004,OBRE,OBRE-01,2026-01-28,12,13,10,0.22,2.64,1
MRO-70005,NAVA,NAVA-01,2026-01-28,79,107,90,2.53,199.87,1
MRO-70005,OBRE,OBRE-01,2026-01-28,83,49,39,2.53,209.99,0
MRO-80001,NAVA,NAVA-01,2026-01-28,19,11,7,13.25,251.75,0
MRO-80001,OBRE,OBRE-01,2026-01-28,5,6,4,13.25,66.25,1
MRO-80002,NAVA,NAVA-01,2026-01-28,9,9,6,7.83,70.47,0
MRO-80002,OBRE,OBRE-01,2026-01-28,5,5,3,7.83,39.15,0
MRO-90011,NAVA,NAVA-01,2026-01-28,79,83,70,1.14,90.06,1
MRO-90011,OBRE,OBRE-01,2026-01-28,56,38,31,1.14,63.84,0
MRO-90012,NAVA,NAVA-01,2026-01-28,39,87,76,0.54,21.06,1
MRO-90012,OBRE,OBRE-01,2026-01-28,82,47,38,0.54,44.28,0
