sku_id,description,category,criticality,uom,unit_cost_usd,currency,shelf_life_days
B2B-017FC278,Cylindrical Roller Bearing 157,Bearing,C,EA,131.0,USD,1825
B2B-01DE7624,Timing Belt 77,Drive Belt,C,EA,78.0,USD,1095
B2B-0204FB90,Lubrication Nipple 41,Lubrication,B,EA,24.0,USD,180
B2B-023801DD,Flexible Coupling 171,Coupling,C,EA,548.0,USD,2555
B2B-02702E82,Chain Lubricant 58,Lubrication,C,EA,30.5,USD,180
B2B-02A3F8C0,Flexible Coupling 82,Coupling,C,EA,506.0,USD,2555
B2B-02EDB12B,Timing Belt 131,Drive Belt,C,EA,89.0,USD,1095
B2B-030788CA,Coalescing Element 15,Filter,B,EA,37.0,USD,365
B2B-031521B6,Pillow Block Unit 156,Bearing,C,EA,125.0,USD,1825
B2B-034A55B1,Conveyor Belt Section 170,Drive Belt,C,EA,84.0,USD,1095
B2B-03D4E261,Spherical Roller Bearing 127,Bearing,C,EA,218.0,USD,1825
B2B-03F2DDDA,Shaft Collar Assembly 103,Coupling,C,EA,345.0,USD,2555
B2B-04A67908,Hydraulic Filter Element 84,Filter,B,EA,34.0,USD,365
B2B-04E64A1E,Deep Groove Ball Bearing 21,Bearing,C,EA,176.0,USD,1825
B2B-04E72EE3,Hex Bolt 183,Fastener,C,EA,6.0,USD,3650
B2B-04FFF724,Temperature Probe 43,Sensor,B,EA,870.0,USD,1825
B2B-055862A4,O-Ring NBR 45,Seal & Gasket,B,EA,18.0,USD,730
B2B-05BB0047,Air Filter Cartridge 143,Filter,A,EA,43.0,USD,365
B2B-0613D319,Shaft Collar Assembly 196,Coupling,C,EA,326.0,USD,2555
B2B-064325A4,O-Ring NBR 79,Seal & Gasket,B,EA,9.5,USD,730
B2B-0663EAC5,Food Grade Grease 95,Lubrication,C,EA,29.0,USD,180
B2B-06E7F576,Angular Contact Bearing 30,Bearing,A,EA,129.5,USD,1825
B2B-06F0B7BB,Deep Groove Ball Bearing 155,Bearing,C,EA,157.0,USD,1825
B2B-074C259B,Threaded Rod 144,Fastener,B,EA,5.0,USD,3650
B2B-07E656C6,Toothed Belt 185,Drive Belt,C,EA,93.0,USD,1095
B2B-0807EF6D,Contactor 147,Electrical,C,EA,11193.0,USD,1825
B2B-081C324A,Flange Gasket 183,Seal & Gasket,B,EA,10.0,USD,730
B2B-090C0C8F,CIP Gasket EPDM 190,Seal & Gasket,C,EA,11.0,USD,730
B2B-09A87048,Shaft Seal 83,Seal & Gasket,C,EA,22.0,USD,730
B2B-09D3794B,Hydraulic Filter Element 137,Filter,B,EA,39.0,USD,365
B2B-09E188FB,Rotary Seal Kit 172,Seal & Gasket,A,EA,22.0,USD,730
B2B-09EE755B,Safety Relay 195,Electrical,B,EA,3439.0,USD,1825
B2B-09F6C494,O-Ring NBR 33,Seal & Gasket,C,EA,16.0,USD,730
B2B-0A049C10,Flange Gasket 189,Seal & Gasket,C,EA,13.0,USD,730
B2B-0A7B5D7F,Tapered Roller Bearing 152,Bearing,B,EA,243.5,USD,1825
B2B-0B2EBB6B,Air Filter Cartridge 132,Filter,C,EA,35.0,USD,365
B2B-0B7D27FA,Breather Filter 193,Filter,B,EA,33.0,USD,365
B2B-0BD7AABE,Pressure Transmitter 20,Sensor,C,EA,584.0,USD,1825
B2B-0BDEBF74,Pressure Transmitter 91,Sensor,B,EA,676.0,USD,1825
B2B-0BE47CF6,Angular Contact Bearing 77,Bearing,B,EA,169.0,USD,1825
B2B-0BFDC0C3,Cylindrical Roller Bearing 172,Bearing,B,EA,251.0,USD,1825
B2B-0C20548B,Gear Oil 166,Lubrication,C,EA,26.0,USD,180
B2B-0C232B3D,Coalescing Element 13,Filter,C,EA,41.0,USD,365
B2B-0C8A83CA,Flexible Coupling 55,Coupling,B,EA,391.0,USD,2555
B2B-0CE85B8A,Safety Relay 173,Electrical,C,EA,3264.0,USD,1825
B2B-0D033FE2,Flange Gasket 155,Seal & Gasket,C,EA,15.0,USD,730
B2B-0D1CC065,Cylindrical Roller Bearing 139,Bearing,C,EA,149.0,USD,1825
B2B-0DD1AA9C,O-Ring NBR 113,Seal & Gasket,C,EA,18.0,USD,730
B2B-0DFF8701,Conveyor Belt Section 73,Drive Belt,C,EA,72.5,USD,1095
B2B-0E2D8BD2,Coalescing Element 181,Filter,B,EA,34.0,USD,365
B2B-0E4605CF,V-Belt 74,Drive Belt,B,EA,77.0,USD,1095
B2B-0E9545F7,Lip Seal 118,Seal & Gasket,C,EA,15.0,USD,730
B2B-0F2B7E81,Toothed Belt 58,Drive Belt,C,EA,52.0,USD,1095
B2B-0F652EB9,V-Belt 149,Drive Belt,C,EA,74.0,USD,1095
