sku_id,city_id,description,criticality,on_hand_qty,inventory_min,inventory_max,demand_monthly,forecast_source,shelf_life_days,order_cost_usd,holding_cost_usd,eoq_units,target_qty,max_allowed_qty,coverage_months,decision,recommended_qty,supplier_id,supplier_name,unit_price_usd,freight_cost_usd,lead_time_days,total_cost_usd,alternatives_evaluated,confidence,stockout_cost_usd,net_benefit_usd,needs_review,reason
B2B-017FC278,OBRE,Cylindrical Roller Bearing 157,C,1,1,5,0.82,modelo+estadistico,1825,72.83,32.75,4,5,4,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.78,118.16,118.16,0,Stock is above the operating minimum: no replenishment needed
B2B-01DE7624,NAVA,Timing Belt 77,C,7,3,15,2.46,modelo+estadistico,1095,47.33,19.5,12,15,8,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.5,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0204FB90,NAVA,Lubrication Nipple 41,B,10,3,18,2.58,modelo+estadistico,180,47.33,6.0,15,18,2,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.7,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-0204FB90,OBRE,Lubrication Nipple 41,B,8,3,16,2.29,modelo+estadistico,180,72.83,6.0,13,16,2,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.34,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-023801DD,NAVA,Flexible Coupling 171,C,1,1,3,0.4,modelo+estadistico,2555,75.67,137.0,2,3,2,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.78,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-023801DD,OBRE,Flexible Coupling 171,C,1,1,4,0.54,modelo+estadistico,2555,84.17,137.0,3,4,3,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.91,19.2,19.2,0,Stock is above the operating minimum: no replenishment needed
B2B-02702E82,OBRE,Chain Lubricant 58,C,3,2,10,1.37,modelo+estadistico,180,40.5,7.625,8,10,3,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.48,0.0,0.0,1,Stock is above the operating minimum: no replenishment needed
B2B-02A3F8C0,OBRE,Flexible Coupling 82,C,0,1,4,0.55,modelo+estadistico,2555,98.75,126.5,3,4,4,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.56,105.76,105.76,0,Replenishing costs more than the stockout it prevents. Replenishing costs 2326.88 USD and the stockout it prevents is valued at 105.76 USD on a criticality C part
B2B-02EDB12B,NAVA,Timing Belt 131,C,4,3,14,2.51,modelo+estadistico,1095,43.5,22.25,11,14,10,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.45,159.84,159.84,1,Stock is above the operating minimum: no replenishment needed
B2B-030788CA,NAVA,Coalescing Element 15,B,5,2,9,1.26,modelo+estadistico,365,43.5,9.25,7,9,4,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.52,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-030788CA,OBRE,Coalescing Element 15,B,7,4,19,2.52,modelo+estadistico,365,40.5,9.25,15,19,12,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.59,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
B2B-031521B6,NAVA,Pillow Block Unit 156,C,2,2,8,1.02,modelo+estadistico,1825,43.5,31.25,6,8,6,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.48,9.83,9.83,1,Stock is above the operating minimum: no replenishment needed
B2B-034A55B1,NAVA,Conveyor Belt Section 170,C,1,1,6,0.9,modelo+estadistico,1095,43.5,21.0,5,6,5,0.0,NO_COMPRAR,0,,,,,,0.0,2,0.53,137.68,137.68,0,Stock is above the operating minimum: no replenishment needed
B2B-03D4E261,NAVA,Spherical Roller Bearing 127,C,1,1,4,0.55,modelo+estadistico,1825,75.67,54.5,3,4,3,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.78,23.77,23.77,0,Stock is above the operating minimum: no replenishment needed
B2B-03D4E261,OBRE,Spherical Roller Bearing 127,C,1,1,4,0.59,modelo+estadistico,1825,84.17,54.5,3,4,3,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.48,41.17,41.17,1,Stock is above the operating minimum: no replenishment needed
B2B-03F2DDDA,NAVA,Shaft Collar Assembly 103,C,2,1,4,0.56,modelo+estadistico,2555,75.67,86.25,3,4,2,0.0,NO_COMPRAR,0,,,,,,0.0,3,0.66,0.0,0.0,0,Stock is above the operating minimum: no replenishment needed
