offer_id,supplier_id,sku_id,unit_price_usd,moq,capacity_per_month,currency
SUP-LOC-01_B2B-017FC278,SUP-LOC-01,B2B-017FC278,138.86,2,90,USD
SUP-LOC-02_B2B-017FC278,SUP-LOC-02,B2B-017FC278,138.86,2,90,USD
SUP-NAT-01_B2B-017FC278,SUP-NAT-01,B2B-017FC278,146.72,2,90,USD
SUP-LOC-01_B2B-01DE7624,SUP-LOC-01,B2B-01DE7624,82.68,3,144,USD
SUP-LOC-02_B2B-01DE7624,SUP-LOC-02,B2B-01DE7624,82.68,3,144,USD
SUP-NAT-01_B2B-01DE7624,SUP-NAT-01,B2B-01DE7624,87.36,3,144,USD
SUP-LOC-01_B2B-0204FB90,SUP-LOC-01,B2B-0204FB90,25.44,8,234,USD
SUP-LOC-02_B2B-0204FB90,SUP-LOC-02,B2B-0204FB90,25.44,8,234,USD
SUP-NAT-01_B2B-0204FB90,SUP-NAT-01,B2B-0204FB90,26.88,8,234,USD
SUP-LOC-01_B2B-023801DD,SUP-LOC-01,B2B-023801DD,580.88,1,36,USD
SUP-NAT-01_B2B-023801DD,SUP-NAT-01,B2B-023801DD,613.76,1,36,USD
SUP-NAT-02_B2B-023801DD,SUP-NAT-02,B2B-023801DD,613.76,1,36,USD
SUP-LOC-01_B2B-02702E82,SUP-LOC-01,B2B-02702E82,32.33,7,87,USD
SUP-LOC-02_B2B-02702E82,SUP-LOC-02,B2B-02702E82,32.33,7,87,USD
SUP-NAT-01_B2B-02A3F8C0,SUP-NAT-01,B2B-02A3F8C0,566.72,1,24,USD
SUP-NAT-02_B2B-02A3F8C0,SUP-NAT-02,B2B-02A3F8C0,566.72,1,24,USD
SUP-LOC-01_B2B-02EDB12B,SUP-LOC-01,B2B-02EDB12B,94.34,2,96,USD
SUP-LOC-02_B2B-02EDB12B,SUP-LOC-02,B2B-02EDB12B,94.34,2,96,USD
SUP-LOC-01_B2B-030788CA,SUP-LOC-01,B2B-030788CA,39.22,5,195,USD
SUP-LOC-02_B2B-030788CA,SUP-LOC-02,B2B-030788CA,39.22,5,195,USD
SUP-LOC-01_B2B-031521B6,SUP-LOC-01,B2B-031521B6,132.5,2,87,USD
SUP-LOC-02_B2B-031521B6,SUP-LOC-02,B2B-031521B6,132.5,2,87,USD
SUP-LOC-01_B2B-034A55B1,SUP-LOC-01,B2B-034A55B1,89.04,2,42,USD
SUP-LOC-02_B2B-034A55B1,SUP-LOC-02,B2B-034A55B1,89.04,2,42,USD
SUP-LOC-01_B2B-03D4E261,SUP-LOC-01,B2B-03D4E261,231.08,1,42,USD
SUP-NAT-01_B2B-03D4E261,SUP-NAT-01,B2B-03D4E261,244.16,1,42,USD
SUP-NAT-02_B2B-03D4E261,SUP-NAT-02,B2B-03D4E261,244.16,1,42,USD
SUP-LOC-01_B2B-03F2DDDA,SUP-LOC-01,B2B-03F2DDDA,365.7,1,39,USD
SUP-NAT-01_B2B-03F2DDDA,SUP-NAT-01,B2B-03F2DDDA,386.4,1,39,USD
SUP-NAT-02_B2B-03F2DDDA,SUP-NAT-02,B2B-03F2DDDA,386.4,1,39,USD
SUP-LOC-01_B2B-04A67908,SUP-LOC-01,B2B-04A67908,36.04,6,204,USD
SUP-LOC-02_B2B-04A67908,SUP-LOC-02,B2B-04A67908,36.04,6,204,USD
SUP-LOC-01_B2B-04E64A1E,SUP-LOC-01,B2B-04E64A1E,186.56,1,39,USD
SUP-NAT-01_B2B-04E64A1E,SUP-NAT-01,B2B-04E64A1E,197.12,1,39,USD
SUP-NAT-02_B2B-04E64A1E,SUP-NAT-02,B2B-04E64A1E,197.12,1,39,USD
SUP-LOC-01_B2B-04E72EE3,SUP-LOC-01,B2B-04E72EE3,6.36,33,162,USD
SUP-LOC-02_B2B-04E72EE3,SUP-LOC-02,B2B-04E72EE3,6.36,33,162,USD
SUP-NAT-01_B2B-04FFF724,SUP-NAT-01,B2B-04FFF724,974.4,1,30,USD
SUP-NAT-02_B2B-04FFF724,SUP-NAT-02,B2B-04FFF724,974.4,1,30,USD
SUP-LOC-01_B2B-055862A4,SUP-LOC-01,B2B-055862A4,19.08,11,279,USD
SUP-LOC-02_B2B-055862A4,SUP-LOC-02,B2B-055862A4,19.08,11,279,USD
SUP-NAT-01_B2B-055862A4,SUP-NAT-01,B2B-055862A4,20.16,11,279,USD
SUP-LOC-01_B2B-05BB0047,SUP-LOC-01,B2B-05BB0047,45.58,5,90,USD
SUP-LOC-02_B2B-05BB0047,SUP-LOC-02,B2B-05BB0047,45.58,5,90,USD
SUP-NAT-01_B2B-0613D319,SUP-NAT-01,B2B-0613D319,365.12,1,42,USD
SUP-NAT-02_B2B-0613D319,SUP-NAT-02,B2B-0613D319,365.12,1,42,USD
SUP-LOC-01_B2B-064325A4,SUP-LOC-01,B2B-064325A4,10.07,21,231,USD
SUP-LOC-02_B2B-064325A4,SUP-LOC-02,B2B-064325A4,10.07,21,231,USD
SUP-LOC-01_B2B-0663EAC5,SUP-LOC-01,B2B-0663EAC5,30.74,7,162,USD
SUP-LOC-02_B2B-0663EAC5,SUP-LOC-02,B2B-0663EAC5,30.74,7,162,USD
SUP-NAT-01_B2B-0663EAC5,SUP-NAT-01,B2B-0663EAC5,32.48,7,162,USD
SUP-LOC-01_B2B-06E7F576,SUP-LOC-01,B2B-06E7F576,137.27,2,141,USD
SUP-LOC-02_B2B-06E7F576,SUP-LOC-02,B2B-06E7F576,137.27,2,141,USD
SUP-NAT-01_B2B-06E7F576,SUP-NAT-01,B2B-06E7F576,145.04,2,141,USD
